bitmask,channel_names_active,ownership_pct,mean_alpha,solve_time
868,Medical+R-S+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),26.5636,0.238117,119.1
869,SS+Medical+R-S+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),59.9086,0.438573,501.0
870,Bequests+Medical+R-S+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),26.3176,0.223714,110.2
871,SS+Bequests+Medical+R-S+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),59.1005,0.393770,460.2
872,Pessimism+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),38.8967,0.350710,16.2
873,SS+Pessimism+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),59.4167,0.468689,69.8
874,Bequests+Pessimism+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),38.7913,0.317403,16.8
875,SS+Bequests+Pessimism+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),56.7814,0.325105,62.4
876,Medical+R-S+Pessimism+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),23.4715,0.196448,124.1
877,SS+Medical+R-S+Pessimism+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),47.8215,0.303261,510.7
878,Bequests+Medical+R-S+Pessimism+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),22.9445,0.164905,112.5
879,SS+Bequests+Medical+R-S+Pessimism+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),43.4996,0.194062,478.6
880,Age needs+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),40.9346,0.381100,16.0
881,SS+Age needs+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),67.1820,0.581209,66.6
882,Bequests+Age needs+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),40.8995,0.366015,15.5
883,SS+Bequests+Age needs+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),66.0576,0.525450,64.4
884,Medical+R-S+Age needs+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),24.8067,0.216079,127.4
885,SS+Medical+R-S+Age needs+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),54.2164,0.373970,504.6
886,Bequests+Medical+R-S+Age needs+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),24.5608,0.198264,112.7
887,SS+Bequests+Medical+R-S+Age needs+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),51.8623,0.313117,456.2
888,Pessimism+Age needs+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),37.2804,0.323784,15.8
889,SS+Pessimism+Age needs+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),54.0759,0.383819,65.3
890,Bequests+Pessimism+Age needs+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),37.0344,0.283391,15.3
891,SS+Bequests+Pessimism+Age needs+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),49.3324,0.210903,63.5
892,Medical+R-S+Pessimism+Age needs+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),22.2066,0.175826,133.3
893,SS+Medical+R-S+Pessimism+Age needs+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),41.4968,0.238658,497.1
894,Bequests+Medical+R-S+Pessimism+Age needs+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),21.6093,0.140112,120.2
895,SS+Bequests+Medical+R-S+Pessimism+Age needs+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),33.8018,0.113637,454.5
896,Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),78.2853,0.571490,15.3
897,SS+Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),100.0000,0.999533,66.7
898,Bequests+Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),78.2502,0.565141,15.6
899,SS+Bequests+Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),100.0000,0.982909,61.0
900,Medical+R-S+Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),41.9185,0.407214,121.0
901,SS+Medical+R-S+Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),98.9810,0.799382,496.0
902,Bequests+Medical+R-S+Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),41.8482,0.396810,121.8
903,SS+Bequests+Medical+R-S+Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),98.7702,0.767435,464.7
904,Pessimism+Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),64.2656,0.511314,15.6
905,SS+Pessimism+Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),100.0000,0.844944,66.1
906,Bequests+Pessimism+Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),64.2656,0.489712,15.5
907,SS+Bequests+Pessimism+Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),100.0000,0.764743,60.7
908,Medical+R-S+Pessimism+Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),39.8103,0.375028,115.6
909,SS+Medical+R-S+Pessimism+Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),89.1075,0.598893,488.1
910,Bequests+Medical+R-S+Pessimism+Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),39.4940,0.351314,120.7
911,SS+Bequests+Medical+R-S+Pessimism+Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),89.5994,0.524642,466.4
912,Age needs+Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),70.2389,0.537164,15.6
913,SS+Age needs+Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),100.0000,0.966753,64.8
914,Bequests+Age needs+Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),70.2389,0.527077,15.3
915,SS+Bequests+Age needs+Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),100.0000,0.942937,63.4
916,Medical+R-S+Age needs+Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),40.4427,0.387488,123.1
917,SS+Medical+R-S+Age needs+Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),96.9079,0.708208,489.8
918,Bequests+Medical+R-S+Age needs+Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),40.3022,0.374143,116.1
919,SS+Bequests+Medical+R-S+Age needs+Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),97.2944,0.666462,460.2
920,Pessimism+Age needs+Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),59.8032,0.484786,16.1
921,SS+Pessimism+Age needs+Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),91.2509,0.689382,65.4
922,Bequests+Pessimism+Age needs+Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),59.3465,0.454659,16.2
923,SS+Bequests+Pessimism+Age needs+Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),89.3886,0.567604,63.9
924,Medical+R-S+Pessimism+Age needs+Inflation+Public-care aversion (LTC)+Source-dependent utility (SDU),38.3345,0.355892,125.8
