gamma,hazard_poor,inflation,mwr,pessimism,delta_c,ownership_pct
2.5,2.0180,0.0198,0.8810,0.9977,0.0221,43.89
2.5,3.3076,0.0175,0.8732,0.9842,0.0224,28.46
2.5,2.8173,0.0161,0.9022,0.9860,0.0204,37.46
2.5,2.3760,0.0169,0.8642,0.9753,0.0137,32.40
2.5,2.7514,0.0185,0.8437,0.9730,0.0231,19.78
2.5,3.1328,0.0205,0.8485,0.9985,0.0297,27.51
2.5,2.4931,0.0169,0.8353,0.9804,0.0105,30.01
2.5,2.3663,0.0194,0.8930,0.9768,0.0125,37.21
2.5,3.4584,0.0228,0.8770,0.9855,0.0183,28.04
2.5,2.3174,0.0160,0.8965,0.9823,0.0283,35.70
2.5,2.9224,0.0212,0.8727,0.9740,0.0280,20.70
2.5,2.7124,0.0245,0.8540,0.9946,0.0154,32.89
2.5,2.4734,0.0156,0.8651,0.9968,0.0207,38.79
2.5,2.3914,0.0153,0.8594,0.9821,0.0125,35.45
2.5,2.4975,0.0178,0.8685,0.9823,0.0210,32.04
2.5,2.1257,0.0168,0.8644,0.9832,0.0123,38.12
2.5,2.4143,0.0227,0.8858,0.9918,0.0191,38.65
2.5,2.4101,0.0164,0.9037,0.9963,0.0127,48.28
2.5,3.3054,0.0211,0.8937,0.9898,0.0190,34.22
2.5,3.4485,0.0170,0.8797,0.9795,0.0137,29.73
2.5,2.7773,0.0224,0.8328,0.9973,0.0289,25.37
2.5,3.0356,0.0150,0.8489,0.9793,0.0269,22.03
2.5,2.8643,0.0168,0.8784,0.9864,0.0267,31.38
2.5,2.0504,0.0233,0.8385,0.9959,0.0101,38.69
2.5,2.3725,0.0231,0.8387,0.9922,0.0272,28.04
2.5,3.3932,0.0231,0.8832,0.9891,0.0188,30.67
2.5,2.0782,0.0191,0.8617,0.9866,0.0108,39.67
2.5,3.2883,0.0227,0.8947,0.9849,0.0186,31.87
2.5,2.3516,0.0182,0.8358,0.9946,0.0226,32.33
2.5,2.3356,0.0216,0.8493,0.9997,0.0228,35.73
2.5,2.2109,0.0236,0.8518,0.9913,0.0112,37.10
2.5,2.3067,0.0233,0.8733,0.9941,0.0238,36.37
2.5,3.0091,0.0170,0.8757,0.9974,0.0216,36.65
2.5,2.8609,0.0181,0.8880,0.9805,0.0120,35.42
2.5,3.1183,0.0214,0.9058,0.9791,0.0157,33.91
2.5,2.5163,0.0242,0.8323,0.9863,0.0215,24.14
2.5,2.3262,0.0243,0.8404,0.9897,0.0216,28.95
2.5,3.3007,0.0248,0.8329,0.9783,0.0135,15.11
2.5,3.0250,0.0191,0.8955,0.9850,0.0137,36.51
2.5,2.6034,0.0155,0.9043,0.9996,0.0111,49.33
2.5,2.9351,0.0205,0.8515,0.9893,0.0113,31.62
2.5,3.0227,0.0165,0.8838,0.9790,0.0140,32.99
2.5,2.1965,0.0192,0.8915,0.9834,0.0265,35.59
2.5,2.4560,0.0208,0.9009,0.9963,0.0103,47.68
2.5,2.8903,0.0175,0.8699,0.9857,0.0123,34.57
2.5,3.3126,0.0168,0.8417,0.9777,0.0292,14.34
2.5,2.2295,0.0182,0.8572,0.9976,0.0185,39.92
2.5,2.3621,0.0182,0.8700,0.9889,0.0133,39.07
2.5,3.4552,0.0204,0.8343,0.9882,0.0276,15.74
2.5,3.1432,0.0155,0.8981,0.9720,0.0277,26.91
2.5,2.9055,0.0188,0.8493,0.9759,0.0245,20.20
2.5,2.9513,0.0237,0.8472,0.9862,0.0290,19.22
2.5,2.4575,0.0213,0.8847,0.9896,0.0284,34.40
2.5,2.3142,0.0171,0.8353,0.9759,0.0237,24.03
2.5,2.3762,0.0216,0.8501,0.9703,0.0234,21.40
2.5,3.4950,0.0220,0.8321,0.9725,0.0151,11.24
2.5,3.4431,0.0166,0.8331,0.9868,0.0160,23.51
2.5,3.3964,0.0219,0.8450,0.9897,0.0201,22.91
2.5,3.4060,0.0213,0.8749,0.9839,0.0262,24.03
2.5,2.9464,0.0205,0.8427,0.9838,0.0128,27.58
2.5,3.3486,0.0192,0.8302,0.9752,0.0175,14.44
2.5,3.4017,0.0244,0.8646,0.9807,0.0106,25.97
2.5,3.2908,0.0199,0.8695,0.9708,0.0157,22.45
2.5,2.5921,0.0195,0.8762,0.9711,0.0227,26.63
2.5,2.2228,0.0187,0.8460,0.9985,0.0218,37.00
2.5,2.1147,0.0231,0.8833,0.9749,0.0204,32.33
2.5,2.4847,0.0208,0.8959,0.9706,0.0231,29.52
2.5,3.1757,0.0211,0.8436,0.9842,0.0124,25.83
2.5,2.7647,0.0171,0.8866,0.9732,0.0275,27.23
2.5,2.9325,0.0227,0.8382,0.9735,0.0276,10.86
2.5,2.3805,0.0185,0.8336,0.9801,0.0226,24.91
2.5,3.4105,0.0228,0.8994,0.9777,0.0156,29.83
2.5,2.1197,0.0186,0.9090,0.9871,0.0163,44.94
2.5,2.2868,0.0184,0.8542,0.9974,0.0244,36.47
2.5,2.1523,0.0211,0.8771,0.9843,0.0180,37.00
2.5,3.2861,0.0164,0.8692,0.9975,0.0265,32.29
2.5,2.3185,0.0228,0.8842,0.9765,0.0108,35.56
2.5,2.0184,0.0159,0.8808,0.9912,0.0188,43.36
2.5,3.2700,0.0200,0.8314,0.9786,0.0151,18.31
2.5,2.1635,0.0235,0.9083,0.9887,0.0235,41.04
